k,silhouette,ARI
2,0.48972544377912025,0.19839807048489866
3,0.4861619088006518,0.20976322013781562
4,0.3768621827449593,0.2933467783698418
5,0.40231739174157427,0.2746011491866175
6,0.4096187533396681,0.2493626669081335
7,0.3185158268568242,0.26950151907280295
8,0.33190614169921423,0.24650487081377118
