DBI_full(含噪声),ARI_full(含噪声),AMI_full(含噪声),silhouette_filtered(无噪声),DBI_filtered(无噪声),ARI_filtered(无噪声),AMI_filtered(无噪声),n_cluster_after_filter,n_noise_points,algorithm
0.7395267355333086,0.2933467783698418,0.42271630471051164,0.3768621827449593,0.7395267355333086,0.2933467783698418,0.42271630471051164,4,0,KMeans(k=4)
0.7095963395298628,0.32045493664517327,0.5155964651440548,0.4094661810887253,0.7095963395298628,0.32045493664517327,0.5155964651440548,4,0,Agglomerative(k=4)
1.1861532162791733,0.21060744959935748,0.35578536378992104,,,,,1,43,"DBSCAN(eps=1.1,min_samples=7)"
